order_id,customer,product,quantity,price,date
1001,Alice,Laptop,1,800,2024-01-15
1002,Bob,Mouse,2,25,2024-01-17
1003,Alice,Keyboard,1,45,2024-01-20
1004,John,Monitor,2,150,2024-01-22
1005,Sara,Mouse,1,25,2024-02-01
1006,John,Laptop,1,800,2024-02-03
1007,Sara,Monitor,1,150,2024-02-05
1008,Bob,Keyboard,2,45,2024-02-07
1009,Ali,Mouse,3,25,2024-02-10
1010,Alice,Laptop,2,800,2024-02-14
1011,Bob,Mouse,1,25,2024-02-15
1012,Sara,Keyboard,1,45,2024-02-16
1013,Ali,Monitor,2,150,2024-02-18
1014,John,Laptop,1,800,2024-02-19
1015,Alice,Mouse,2,25,2024-02-20
1016,Ali,Keyboard,1,45,2024-02-22
1017,Bob,Laptop,1,800,2024-02-24
1018,Sara,Mouse,4,25,2024-02-25
1019,John,Monitor,1,150,2024-02-27
1020,Alice,Laptop,1,800,2024-03-01
1021,Sara,Monitor,2,150,2024-03-02
1022,Bob,Keyboard,1,45,2024-03-03
1023,Alice,Mouse,3,25,2024-03-04
1024,Ali,Laptop,1,800,2024-03-06
1025,John,Keyboard,2,45,2024-03-07
1026,Sara,Mouse,2,25,2024-03-09
1027,Bob,Laptop,1,800,2024-03-10
1028,Ali,Monitor,1,150,2024-03-12
1029,Alice,Mouse,1,25,2024-03-14
1030,Sara,Laptop,2,800,2024-03-15
1031,John,Keyboard,1,45,2024-03-17
1032,Bob,Monitor,1,150,2024-03-18
1033,Ali,Laptop,1,800,2024-03-20
1034,Alice,Monitor,2,150,2024-03-22
1035,Sara,Keyboard,2,45,2024-03-24
1036,John,Mouse,3,25,2024-03-25
1037,Bob,Laptop,1,800,2024-03-27
1038,Alice,Keyboard,1,45,2024-03-28
1039,Ali,Mouse,2,25,2024-03-30
1040,Sara,Laptop,1,800,2024-04-01
1041,John,Laptop,2,800,2024-04-02
1042,Bob,Mouse,2,25,2024-04-04
1043,Alice,Keyboard,2,45,2024-04-05
1044,Ali,Monitor,1,150,2024-04-06
1045,Sara,Mouse,3,25,2024-04-08
1046,John,Keyboard,1,45,2024-04-09
1047,Bob,Monitor,2,150,2024-04-10
1048,Alice,Mouse,2,25,2024-04-11
1049,Sara,Laptop,1,800,2024-04-12
1050,Ali,Keyboard,1,45,2024-04-14
